,date,tweet,vader_neg,vader_neu,vader_pos,vader_compound,tweet_clean
0,20/12/2020,"@KEADILAN central committee meeting. The party has been forging opposition coalition since 1999. Recently we also invited all opposition parties to discuss #Belanjawan2021, despite deliberate absence of some “oppositions”.   Be clear on divisive and uniting force! #KEADILAN #MPP  https://t.co/D6BjXuu8Za",0,0.813,0.187,0.807,keadilan central committee meeting party forging opposition coalition since 1999 recently also invited opposition parties discuss belanjawan2021 despite deliberate absence oppositions clear divisive uniting force keadilan mpp
1,18/12/2020,"Allocations in #Belanjawan2021 for rail infrastructure, skills training and investments cast a positive outlook for the future of Iskandar Malaysia.  Benedict Francis (Southern Region Leader and Tax Partner) writes about the impact of these developments:  https://t.co/ZYatZBGReN  https://t.co/ZtWSUqDPT7",0,0.907,0.093,0.5574,allocations belanjawan2021 rail infrastructure skills training investments cast positive outlook future iskandar malaysia benedict francis southern region leader tax partner writes impact developments
2,16/12/2020,"Very astute. Indeed, the issue is value system, but not restricted to @pakatanharapan_ or @partimuda  The #PN value system is also problematic, not just in sustaining themselves in victory but critically for us #Rakyat, in governing us through #COVID19 as seen w #Belanjawan2021",0.078,0.769,0.153,0.4071,astute indeed issue value system restricted pakatanharapan partimuda pn value system also problematic sustaining victory critically us rakyat governing us covid19 seen w belanjawan2021
3,16/12/2020,"This official public holiday schedule is perhaps THE most important piece of info for many Msians. Add NY, Thaipusam, Nuzul &amp; WP day, KL has 18 days. Incl Sat &amp; Sun+ vac leave, Msians are out-of-the-office 35-40% of the time, well rested. Who cares about #belanjawan2021! #cuti2  https://t.co/sqRfjN9nhW",0.021,0.748,0.23,0.8938,official public holiday schedule perhaps important piece info many msians add ny thaipusam nuzul wp day kl 18 days incl sat sun vac leave msians outoftheoffice 3540 time well rested cares belanjawan2021 cuti2
4,15/12/2020,Tan Sri Muhyiddin Yassin has thanked all the Parliamentarians who supported Budget 2021 right up from the policy stage to its third reading on Tuesday (Dec 15).  #Budget2021 #belanjawan  https://t.co/80qQcwJlZ8,0,0.843,0.157,0.6369,tan sri muhyiddin yassin thanked parliamentarians supported budget 2021 right policy stage third reading tuesday dec 15 budget2021 belanjawan
5,15/12/2020,Congratulations to PM @MuhyiddinYassin for pulling through #Budget2021. We thank Finance Minister @tzafrul_aziz for meating up the pro-Rakyat content of the #Belanjawan2021 to ensure resilience and workhorse compatibility to sectors affected by the #COVID19 pandemic.  https://t.co/mGg6IlJL1F,0.038,0.751,0.211,0.8126,congratulations pm muhyiddinyassin pulling budget2021 thank finance minister tzafrulaziz meating prorakyat content belanjawan2021 ensure resilience workhorse compatibility sectors affected covid19 pandemic
6,15/12/2020,I had an interview today and the panel asked me about a current issue topic; Belanjawan 2021 and all my mind could ever think of was: Mampuslah aku hahaha.,0,0.878,0.122,0.5574,interview today panel asked current issue topic belanjawan 2021 mind could ever think mampuslah aku hahaha
7,15/12/2020,#Belanjawan2021 just puts more money in their pocket.,0,1,0,0,belanjawan2021 puts money pocket
8,15/12/2020,"Finally, the month-long political drama has ended. All ""good things"" must come to an end. #Belanjawan2021  https://t.co/m5epvMcxlY",0,0.847,0.153,0.4404,finally monthlong political drama ended good things must come end belanjawan2021
9,15/12/2020,"PM Muhyiddin escapes defeat in parliament again, with a narrow margin of 111-108 votes.  #Budget2021 #Belanjawan2021   https://t.co/QSXDUIBavF",0.162,0.757,0.081,-0.3612,pm muhyiddin escapes defeat parliament narrow margin 111108 votes budget2021 belanjawan2021
10,15/12/2020,Just in : Prime Minister Muhyiddin retains his seat as he escapes defeat in parliament by passing the 2021 Budget   #Belanjawan2021 #Budget2021,0.128,0.809,0.064,-0.3612,prime minister muhyiddin retains seat escapes defeat parliament passing 2021 budget belanjawan2021 budget2021
11,15/12/2020,111 - 108 votes . One absent    https://t.co/yZChu7D5gP  #Belanjawan2021,0,1,0,0,111 108 votes one absent belanjawan2021
12,15/12/2020,Let us sing to @pakatanharapan_:  Do you hear the people sing? Singing a song of angry men? It is the music of a people Who will not be slaves again.  Enough is enough.  #Belanjawan2021 #ParlimenMalaysia,0.103,0.897,0,-0.5661,let us sing pakatanharapan hear people sing singing song angry men music people slaves enough enough belanjawan2021 parlimenmalaysia
